bID,CURRENT_ENERGY_EFFICIENCY,hotwater_roof_windows-Cost,hotwater_roof_windows-Eff,hotwater_roof_windows-Diff,hotwater_roof_windows-Score,windows-Cost,windows-Eff,windows-Diff,windows-Score,envelopes-Cost,envelopes-Eff,envelopes-Diff,envelopes-Score,hotwater_windows-Cost,hotwater_windows-Eff,hotwater_windows-Diff,hotwater_windows-Score,envelopes_windows-Cost,envelopes_windows-Eff,envelopes_windows-Diff,envelopes_windows-Score,envelopes_roof_windows-Cost,envelopes_roof_windows-Eff,envelopes_roof_windows-Diff,envelopes_roof_windows-Score,envelopes_hotwater_roof-Cost,envelopes_hotwater_roof-Eff,envelopes_hotwater_roof-Diff,envelopes_hotwater_roof-Score,roof-Cost,roof-Eff,roof-Diff,roof-Score,envelopes_roof-Cost,envelopes_roof-Eff,envelopes_roof-Diff,envelopes_roof-Score,hotwater-Cost,hotwater-Eff,hotwater-Diff,hotwater-Score,hotwater_roof-Cost,hotwater_roof-Eff,hotwater_roof-Diff,hotwater_roof-Score,envelopes_hotwater-Cost,envelopes_hotwater-Eff,envelopes_hotwater-Diff,envelopes_hotwater-Score,envelopes_hotwater_windows-Cost,envelopes_hotwater_windows-Eff,envelopes_hotwater_windows-Diff,envelopes_hotwater_windows-Score,envelopes_hotwater_roof_windows-Cost,envelopes_hotwater_roof_windows-Eff,envelopes_hotwater_roof_windows-Diff,envelopes_hotwater_roof_windows-Score,roof_windows-Cost,roof_windows-Eff,roof_windows-Diff,roof_windows-Score,as_built-Cost,as_built-Eff,as_built-Diff,as_built-Score
32585,36,14872,60,24,619,5997,44,8,749,2700,52,16,168,8797,59,23,382,8697,53,17,511,14772,57,21,703,11575,68,32,361,6075,46,10,607,8775,55,19,461,2800,58,22,127,8875,59,23,385,5500,64,28,196,11497,65,29,396,17572,69,33,532,12072,47,11,1097,0,0,0,0
42431,62,12992,76,14,928,5205,66,4,1301,1500,66,4,375,8005,68,6,1334,6705,66,4,1676,11692,74,12,974,9287,77,15,619,4987,73,11,453,6487,74,12,540,2800,68,6,466,7787,77,15,519,4300,69,7,614,9505,68,6,1584,14492,77,15,966,10192,73,11,926,0,0,0,0
33555,70,9345,74,4,2336,-1,-1,-1,-1,-1,-1,-1,-1,6420,71,1,6420,-1,-1,-1,-1,9245,71,1,9245,8425,74,4,2106,2925,71,1,2925,5625,71,1,5625,2800,71,1,2800,5725,74,4,1431,5500,71,1,5500,9120,71,1,9120,12045,74,4,3011,6545,71,1,6545,0,0,0,0
32345,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12600,72,6,2100,-1,-1,-1,-1,4695,72,6,782,7395,71,5,1479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9900,72,6,1650,0,0,0,0
17022,75,10491,78,3,3497,-1,-1,-1,-1,-1,-1,-1,-1,6816,76,1,6816,-1,-1,-1,-1,9191,76,1,9191,7975,78,3,2658,-1,-1,-1,-1,5175,76,1,5175,2800,76,1,2800,6475,78,3,2158,4300,76,1,4300,8316,76,1,8316,11991,78,3,3997,-1,-1,-1,-1,0,0,0,0
21699,67,10454,75,8,1306,4016,69,2,2008,2700,68,1,2700,6816,71,4,1704,6716,68,1,6716,10354,72,5,2070,9137,74,7,1305,3637,72,5,727,6337,72,5,1267,2800,71,4,700,6437,75,8,804,5500,70,3,1833,9516,70,3,3172,13154,74,7,1879,7654,72,5,1530,0,0,0,0
30288,67,-1,-1,-1,-1,3620,71,4,905,2700,71,4,675,6420,73,6,1070,6320,71,4,1580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,73,6,466,-1,-1,-1,-1,5500,72,5,1100,9120,73,6,1520,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
14428,38,-1,-1,-1,-1,4412,39,1,4412,-1,-1,-1,-1,-1,-1,-1,-1,6512,39,1,6512,14087,46,8,1760,-1,-1,-1,-1,7575,43,5,1515,9675,44,6,1612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11987,45,7,1712,0,0,0,0
20238,71,11262,76,5,2252,-1,-1,-1,-1,-1,-1,-1,-1,7212,72,1,7212,-1,-1,-1,-1,11162,73,2,5581,9550,75,4,2387,4050,72,1,4050,6750,73,2,3375,-1,-1,-1,-1,6850,74,3,2283,-1,-1,-1,-1,9912,72,1,9912,13962,76,5,2792,8462,73,2,4231,0,0,0,0
23415,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4836,74,3,1612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,73,2,1400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
22752,55,9323,68,13,717,3620,56,1,3620,2700,56,1,2700,6420,67,12,535,6320,58,3,2106,9223,59,4,2305,8402,68,13,646,2902,56,1,2902,5602,57,2,2801,2800,66,11,254,5702,67,12,475,5500,67,12,458,9120,67,12,760,12023,68,13,924,6523,57,2,3261,0,0,0,0
43135,64,11199,69,5,2239,-1,-1,-1,-1,-1,-1,-1,-1,6024,65,1,6024,-1,-1,-1,-1,9899,67,3,3299,9475,70,6,1579,5175,66,2,2587,6675,67,3,2225,2800,65,1,2800,7975,69,5,1595,4300,66,2,2150,7524,66,2,3762,12699,70,6,2116,8399,66,2,4199,0,0,0,0
12419,70,9383,76,6,1563,-1,-1,-1,-1,-1,-1,-1,-1,6420,72,2,3210,-1,-1,-1,-1,8083,74,4,2020,7262,76,6,1210,2962,74,4,740,4462,74,4,1115,2800,72,2,1400,5762,76,6,960,4300,72,2,2150,7920,72,2,3960,10883,76,6,1813,6583,74,4,1645,0,0,0,0
